Instruction number     main::sum       main::i     is_even::num     is_odd::num
==================     =========       =======     ============     ===========

1.  ______________     _________       _______     ____________     ___________
2.  ______________     _________       _______     ____________     ___________
3.  ______________     _________       _______     ____________     ___________
4.  ______________     _________       _______     ____________     ___________
5.  ______________     _________       _______     ____________     ___________
6.  ______________     _________       _______     ____________     ___________
7.  ______________     _________       _______     ____________     ___________
8.  ______________     _________       _______     ____________     ___________
9.  ______________     _________       _______     ____________     ___________
10. ______________     _________       _______     ____________     ___________
11. ______________     _________       _______     ____________     ___________
12. ______________     _________       _______     ____________     ___________
13. ______________     _________       _______     ____________     ___________
14. ______________     _________       _______     ____________     ___________
15. ______________     _________       _______     ____________     ___________
16. ______________     _________       _______     ____________     ___________
17. ______________     _________       _______     ____________     ___________
18. ______________     _________       _______     ____________     ___________
19. ______________     _________       _______     ____________     ___________
20. ______________     _________       _______     ____________     ___________
21. ______________     _________       _______     ____________     ___________
22. ______________     _________       _______     ____________     ___________
23. ______________     _________       _______     ____________     ___________
24. ______________     _________       _______     ____________     ___________
25. ______________     _________       _______     ____________     ___________
26. ______________     _________       _______     ____________     ___________
27. ______________     _________       _______     ____________     ___________
28. ______________     _________       _______     ____________     ___________
29. ______________     _________       _______     ____________     ___________
30. ______________     _________       _______     ____________     ___________
31. ______________     _________       _______     ____________     ___________
32. ______________     _________       _______     ____________     ___________
33. ______________     _________       _______     ____________     ___________
34. ______________     _________       _______     ____________     ___________
35. ______________     _________       _______     ____________     ___________
36. ______________     _________       _______     ____________     ___________
37. ______________     _________       _______     ____________     ___________
38. ______________     _________       _______     ____________     ___________
39. ______________     _________       _______     ____________     ___________
40. ______________     _________       _______     ____________     ___________
41. ______________     _________       _______     ____________     ___________
42. ______________     _________       _______     ____________     ___________
43. ______________     _________       _______     ____________     ___________
44. ______________     _________       _______     ____________     ___________
45. ______________     _________       _______     ____________     ___________
46. ______________     _________       _______     ____________     ___________
47. ______________     _________       _______     ____________     ___________
48. ______________     _________       _______     ____________     ___________
49. ______________     _________       _______     ____________     ___________
50. ______________     _________       _______     ____________     ___________
